City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Rach Gia,VN,81.88,light rain,10.02,105.08,Nhà Hàng Hòa Giang
586,El Bagre,CO,80.78,light rain,7.59,-74.81,Hotel Real
587,Pedernales,DO,87.8,few clouds,18.04,-71.74,Hotel Costa Marina
588,Sungairaya,ID,77.14,light rain,0.7,108.9,808 artel
590,Altamira,BR,86.0,few clouds,-3.2,-52.21,Requinte Hotel
597,Maunabo,PR,84.99,clear sky,18.01,-65.9,Maunacaribe
598,San Fernando,PH,84.2,broken clouds,15.03,120.69,Maharlika Hostel
602,Tucuman,AR,80.6,smoke,-26.82,-65.22,Dallas Hotel Tucuman
605,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
606,Porto Novo,BJ,77.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
608,Rawatsar,IN,88.09,light rain,29.28,74.38,Honda Service Center
609,Abu Dhabi,AE,95.0,scattered clouds,24.47,54.37,Beach Rotana
613,Itarema,BR,78.87,clear sky,-2.92,-39.92,Windvillage
615,Havelock,US,84.99,light rain,34.88,-76.9,Sherwood Motel
617,Bhadra,IN,87.1,clear sky,29.12,75.17,Hotel Ganpati
621,Oda,JP,78.8,few clouds,35.18,132.5,Sky Hotel Oda
626,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
628,Manoel Urbano,BR,90.52,overcast clouds,-8.84,-69.26,Baixada Beira Rio
633,Ahuimanu,US,87.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
634,Kalispell,US,82.4,clear sky,48.2,-114.31,Red Lion Hotel Kalispell
636,El Tarra,CO,81.46,light rain,8.58,-73.09,TOS.corp
644,Rawah,IQ,87.67,clear sky,34.48,41.91,المملكة الراوية الهاشمية
646,Tuni,IN,79.09,clear sky,17.35,82.55,Sai Krishna Lodge
649,Buraydah,SA,89.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
651,Pierre,US,82.99,clear sky,44.37,-100.35,Ramkota Hotel
652,Horn Lake,US,91.99,broken clouds,34.96,-90.03,"Hilton Garden Inn Memphis/Southaven, MS"
654,Kuala Lumpur,MY,78.8,few clouds,3.14,101.69,Sheraton Imperial Kuala Lumpur Hotel
658,Namatanai,PG,81.63,scattered clouds,-3.67,152.43,Namatanai Hotel
661,Guarapari,BR,75.2,few clouds,-20.67,-40.5,Hotel Porto do Sol
662,Carmen,MX,93.2,scattered clouds,18.63,-91.83,Hotel Lossandes
664,Nova Olimpia,BR,91.51,clear sky,-14.8,-57.29,Motel glamour
