City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,San Jeronimo,PE,-11.95,-75.28,63.39,34,45,8.93,scattered clouds
162,Igarka,RU,67.47,86.58,51.4,85,1,5.32,clear sky
163,College,US,64.86,-147.8,60.8,67,75,5.82,broken clouds
164,Ancud,CL,-41.87,-73.82,48.0,74,37,1.01,scattered clouds
165,Maryville,US,35.76,-83.97,84.2,66,40,11.41,scattered clouds
166,Cowra,AU,-33.83,148.68,48.78,73,0,2.73,clear sky
167,Carutapera,BR,-1.2,-46.02,78.67,79,35,9.22,scattered clouds
168,General Roca,AR,-39.03,-67.58,53.6,22,0,10.29,clear sky
169,Sinnamary,GF,5.38,-52.95,80.37,85,100,12.06,light rain
170,Kulhudhuffushi,MV,6.62,73.07,82.89,69,87,7.05,overcast clouds
171,Belmonte,BR,-15.86,-38.88,75.2,78,75,10.29,heavy intensity rain
172,Cabo San Lucas,MX,22.89,-109.91,84.99,94,90,5.82,overcast clouds
173,Bayan,CN,46.08,127.4,66.0,89,96,4.32,overcast clouds
174,Tabuk,PH,17.42,121.44,73.81,81,100,2.37,overcast clouds
175,Srednekolymsk,RU,67.45,153.68,45.0,73,27,3.44,scattered clouds
176,Dongsheng,CN,39.82,109.98,55.62,87,99,20.85,light rain
177,Rutul,RU,41.54,47.42,69.8,77,75,9.17,broken clouds
178,Provideniya,RU,64.38,-173.3,51.39,68,60,11.56,broken clouds
179,Geraldton,AU,-28.77,114.6,42.8,81,0,2.24,clear sky
180,East London,ZA,-33.02,27.91,54.77,56,72,18.05,broken clouds
181,Cauquenes,CL,-35.97,-72.32,46.71,68,0,11.03,clear sky
182,Yurginskoye,RU,56.82,67.39,63.09,84,58,5.59,broken clouds
183,Hermanus,ZA,-34.42,19.23,42.01,90,83,5.73,light rain
184,Changping,CN,40.22,116.22,78.01,94,97,4.47,overcast clouds
185,Lokosovo,RU,61.13,74.82,52.74,96,79,5.28,broken clouds
186,Los Llanos De Aridane,ES,28.66,-17.92,75.2,69,75,17.22,broken clouds
187,Tomatlan,MX,19.93,-105.25,86.25,66,72,13.4,broken clouds
188,Esperance,AU,-33.87,121.9,48.2,93,90,3.36,overcast clouds
189,Ponta Do Sol,PT,32.67,-17.1,73.4,64,40,18.34,scattered clouds
190,Izumo,JP,35.37,132.77,78.8,88,20,6.93,few clouds
191,Stornoway,GB,58.21,-6.39,51.01,93,93,4.7,overcast clouds
192,Noumea,NC,-22.28,166.46,69.8,52,20,13.87,few clouds
193,Sao Filipe,CV,14.9,-24.5,80.11,84,57,8.08,light rain
194,Paamiut,GL,61.99,-49.67,45.1,88,51,10.4,broken clouds
195,Yerbogachen,RU,61.28,108.01,49.37,89,13,3.42,few clouds
196,Alto Piquiri,BR,-24.03,-53.44,72.28,64,0,6.06,clear sky
197,Marang,MY,5.21,103.21,78.8,88,20,3.36,few clouds
198,Pisco,PE,-13.7,-76.22,62.6,82,75,19.46,broken clouds
199,Dafeng,CN,23.45,108.59,78.1,76,31,1.05,light rain
200,Along,IN,28.17,94.77,71.62,89,100,1.16,overcast clouds
201,Emba,KZ,48.83,58.14,76.42,24,100,11.77,overcast clouds
202,Nouakchott,MR,18.09,-15.98,84.2,70,75,16.11,broken clouds
203,Kruisfontein,ZA,-34.0,24.73,46.99,81,55,4.0,broken clouds
204,Tura,IN,25.52,90.22,73.78,95,75,3.94,broken clouds
205,Khudumelapye,BW,-23.88,24.75,55.0,36,61,18.14,broken clouds
206,Barcelos,PT,41.54,-8.62,64.0,77,0,6.93,clear sky
207,Lixourion,GR,38.2,20.43,75.99,74,0,2.01,clear sky
208,Bilaspur,IN,22.08,82.15,74.01,95,16,4.7,few clouds
209,Vao,NC,-22.67,167.48,66.18,68,63,17.74,broken clouds
210,Salalah,OM,17.02,54.09,77.0,94,90,3.36,overcast clouds
211,Phan Thiet,VN,10.93,108.1,77.77,87,62,6.64,broken clouds
212,Ilulissat,GL,69.22,-51.1,48.2,61,75,6.93,broken clouds
213,Mount Gambier,AU,-37.83,140.77,57.2,58,75,17.22,light intensity shower rain
214,Banos,EC,-1.4,-78.42,82.4,54,40,6.93,scattered clouds
215,Thinadhoo,MV,0.53,72.93,82.72,72,86,8.05,overcast clouds
216,Cacule,BR,-14.5,-42.22,74.17,43,0,5.66,clear sky
217,Saint-Pierre,RE,-21.34,55.48,69.8,73,27,12.75,scattered clouds
218,Jingdezhen,CN,29.29,117.21,73.06,88,0,2.8,clear sky
219,Labuan,MY,5.28,115.24,77.0,88,20,7.67,thunderstorm
220,Lakeway,US,30.36,-97.98,102.99,32,1,9.17,clear sky
221,Hobyo,SO,5.35,48.53,77.38,84,43,24.65,scattered clouds
222,Ostrovskoye,RU,57.81,42.24,50.11,97,51,5.86,broken clouds
223,Ivybridge,GB,50.39,-3.92,53.01,82,0,9.91,clear sky
224,Nacala,MZ,-14.54,40.67,72.37,86,16,6.93,few clouds
225,Axim,GH,4.87,-2.24,74.16,90,2,8.28,clear sky
226,Anori,BR,-3.77,-61.64,86.38,54,82,1.99,broken clouds
227,Zlynka,RU,52.43,31.74,62.6,82,43,11.18,scattered clouds
228,Chapais,CA,49.78,-74.85,57.2,62,90,9.17,overcast clouds
229,Conceicao Do Araguaia,BR,-8.26,-49.26,87.1,26,2,4.09,clear sky
230,Hanzhong,CN,33.07,107.03,70.79,89,46,1.43,light rain
231,Chissamba,AO,-12.17,17.33,69.17,60,89,5.39,overcast clouds
232,Maturin,VE,9.75,-63.18,80.06,81,78,6.91,broken clouds
233,Kuryk,KZ,43.2,51.65,71.64,76,0,9.51,clear sky
234,Greenwood,US,34.17,-82.12,89.01,62,1,9.17,clear sky
235,Forestville,US,38.85,-76.88,84.99,78,20,9.17,few clouds
236,Trincomalee,LK,8.57,81.23,80.87,78,100,17.13,overcast clouds
237,Alta Floresta,BR,-9.88,-56.09,90.59,24,29,4.47,scattered clouds
238,Van,TR,38.49,43.38,60.8,55,0,2.24,clear sky
239,Belaya Gora,RU,68.53,146.42,43.95,74,21,4.41,few clouds
240,Pochutla,MX,15.74,-96.47,86.0,66,40,9.17,scattered clouds
241,Bredasdorp,ZA,-34.53,20.04,42.8,93,89,8.05,light rain
242,Torata,PE,-17.08,-70.84,60.15,40,12,5.39,few clouds
243,Port Augusta,AU,-32.5,137.77,57.2,76,75,2.24,broken clouds
244,Lazaro Cardenas,MX,17.96,-102.2,82.74,79,47,9.26,light rain
245,Zhigansk,RU,66.77,123.37,53.47,66,100,10.83,light rain
246,Haines Junction,CA,60.75,-137.51,57.79,51,52,6.89,broken clouds
247,Stillwater,US,36.12,-97.06,82.4,61,1,12.75,clear sky
248,Fairbanks,US,64.84,-147.72,60.8,63,1,5.82,clear sky
249,Black River,JM,18.03,-77.85,88.0,74,20,16.11,few clouds
250,Maraba,BR,-5.37,-49.12,91.4,46,20,6.93,few clouds
251,Karagaylinskiy,RU,54.17,86.55,53.82,86,75,6.46,broken clouds
252,Kaitangata,NZ,-46.28,169.85,55.99,62,24,8.01,few clouds
253,Lagoa,PT,39.05,-27.98,74.19,94,100,7.07,overcast clouds
254,Brae,GB,60.4,-1.35,50.0,76,100,6.93,overcast clouds
255,Vakhrushevo,RU,55.23,61.72,64.4,88,40,4.47,thunderstorm
256,Dunedin,NZ,-45.87,170.5,54.0,70,21,13.0,few clouds
257,Dolores,AR,-36.31,-57.68,46.18,69,80,9.31,broken clouds
258,Majalgaon,IN,19.15,76.23,73.62,87,100,6.33,overcast clouds
259,Xining,CN,36.62,101.77,48.61,85,100,0.92,light rain
260,Yerkoy,TR,39.64,34.47,64.8,31,0,2.89,clear sky
261,San Patricio,MX,19.22,-104.7,87.8,74,75,23.04,broken clouds
262,Coffs Harbour,AU,-30.3,153.13,57.2,82,0,5.82,clear sky
